상호명,상가업소번호,지점명,건물명,경도,위도
007게임랜트,23684147,,,127.3000801,36.60278574
011미용실,12016529,,,127.2051746,36.67883725
011미용실,11838941,,,127.2050502,36.67896258
011미용실,23042009,,,127.2048605,36.67891626
1%영수전문학원새롬원,16480845,,에스월드빌딩,127.2504901,36.48551583
1001안경콘택트,16501511,,스타뷰타워,127.2764015,36.4726621
1004베이커리,23187440,,1004마트,127.3657795,36.52917268
113+울라,17060795,,세종시푸르지오시티,127.2637945,36.49600776
114공인중개사,20756088,,첫마을3단지,127.2590393,36.47727798
115호,17003976,,리베라아이누리,127.2588378,36.48437836
11g,17125724,,,127.2954111,36.59015034
121번가,17148391,,중앙타운,127.2624501,36.5083011
121번가파티룸,16962432,,중앙타운,127.2624501,36.5083011
125만쥬,17058821,,,127.2988016,36.59956092
135튀김집,17011017,보람점,금강르네상스,127.2932552,36.48327138
135튀김집도담점,16420560,,,127.2583211,36.51281764
135튀김집새롬점,16094066,,크리스마스빌딩,127.2524967,36.48459115
1441,16620208,,세종영광프라자,127.2510038,36.48663657
14번지부동산,12515013,,,127.2205189,36.49940985
153부동산,16253275,,금강프라자,127.2624794,36.47931803
17피자,16251055,,새뜸프라자,127.2518434,36.48404632
191카나다버거,16518485,,금강르네상스,127.2932552,36.48327138
1980황가원,15961420,,중앙타운,127.2624501,36.5083011
1980황가원,16250372,,우정사업본부,127.2592021,36.50472116
1987금빛통닭,17028766,보람점,호려울마을8단지,127.2962422,36.47753922
1987루프탑라운지,16306642,,다옴프라자,127.2579404,36.51410401
1994시그널,16998755,,스타타워,127.2577565,36.49009439
1급국제자동차공업사,24568359,,,127.2886422,36.62871775
1인한식당,16704786,조치원점,,127.292023,36.60503622
1층커피,17017059,,종촌중앙프라자,127.2495346,36.50473284
2005진돈가스,23230684,,,127.3004232,36.60440091
203여단마트P.X,20522527,,,127.2788454,36.56409644
2050진돈가스,16601972,,,127.3004232,36.60440091
2080단란주점,23696348,,,127.2823344,36.46699317
21세기공인중개사사무소,21579889,,,127.2937671,36.59273609
2-2더샵공인중개사무소,16402076,,새뜸마을10단지,127.2510967,36.48858379
24시갯마을생바지락손칼국수,25904071,,,127.2794932,36.46052327
24시세종청사출장열쇠,16686767,,갤러리세종프라자,127.2588677,36.48591963
24시전주명가콩나물국밥,16751485,,세종포레뷰1,127.2561634,36.48978707
24시편의점,20830237,,,127.2099011,36.44135546
24시한뚝수육국밥,16166274,,세종한신휴시티,127.2586084,36.51429742
24시해장국원리식당,22150103,,,127.3009246,36.60210578
25시노래연습장,24359466,,,127.3684967,36.52872747
25시해장국,22905014,,,127.2998652,36.60430752
2플로어,16643368,,애플타워,127.2576856,36.49050851
301,12448375,,골드타워,127.289142,36.47784861
3030다정한결,16494146,,가온마을3단지,127.2437896,36.49742373
3030영어학원,16451275,,크리스마스빌딩,127.2524967,36.48459115
3-3커피,16606719,,새샘마을9단지,127.2997478,36.4910061
365부동산,16256744,,오렌지빌딩,127.2502313,36.48688406
365행복케어,20127237,,,127.295967,36.59662429
369로또,16644662,,가온마을1단지,127.2448039,36.49297813
3900콩나물국밥,16485020,,,127.2904973,36.61418339
3M오토네비,16300146,세종점,,127.2119367,36.50143529
3S카케어,16177173,,가재마을6단지,127.2456802,36.50619554
3단계청사미용실,25265072,,국세청,127.2607493,36.48522835
3생활권공인중개사사무소,16402423,,보람빌딩,127.2901057,36.47741275
406스튜디오,16599768,,더센트럴,127.2610032,36.4878705
40년전통춘천닭갈비,15486082,,황금빌딩,127.2581474,36.51346544
4455shop,12446010,,범지기마을4단지,127.2478376,36.50936343
4디박스창업교육사회적협동조합,16489579,,,127.2181589,36.43876022
4디박스청벽점1,17012171,,,127.2181589,36.43876022
5.5닭갈비,16729585,대평점,태양빌딩,127.2758716,36.47444331
5.5닭갈비,12206434,,새한빌딩,127.257835,36.51461705
59꼬마김밥,17152533,,,127.3016853,36.60079448
59피자,17125875,전의점,재동아파트,127.2069545,36.67983141
5바,17173962,,메가타워1,127.2578501,36.48964436
60계치킨,16602533,세종어진점,세종비지니스센터,127.2649144,36.49561813
60계치킨,17064251,조치원점,세종메디컬프라자,127.2879262,36.59472004
60계치킨,17085732,아름점,아름동행정복지센터,127.2468933,36.51234951
60계치킨,16585331,세종소담점,지엘플렉스1,127.3014758,36.48501408
60계치킨,17249820,세종아름점,해피라움4,127.2495712,36.51134801
60계치킨세종,16686390,소담점,지엘플렉스1,127.3014758,36.48501408
60계치킨세종,16425547,아름점,해피라움4,127.2495712,36.51134801
60계치킨세종새롬점,16958094,,해피라움W,127.251201,36.48701632
69고기,12568749,,시드니하트,127.2938072,36.48393254
7번가피자,17034365,세종새롬점,무지개타워,127.2512361,36.48452917
7번가피자세종점,12525157,세종점,세종아카데미타워,127.2433778,36.51221912
8.8식당,8587678,,,127.2675159,36.65406664
88부동산,20755717,,첫마을2단지,127.2606235,36.48084763
88시장버거,16588020,,새샘마을3단지,127.2960514,36.48506332
88야채과일마트,16242211,,우정사업본부,127.2592021,36.50472116
88양고치,16259724,,네이버타워,127.288245,36.47708624
9292뒷고기,23205509,,,127.291137,36.60413876
9292뒷고기나성점,17167892,,제이빌딩,127.258194,36.49103438
9292숯불구이,17218804,,,127.2332665,36.51864331
99연대마트P.X,20164875,,,127.2788454,36.56409644
A·SOME레스토랑,12482394,,금강베네치아,127.2935533,36.48362462
ABC공인중개사사무소,13613184,,세진이너스빌,127.2596973,36.48318507
ABC마트,16589274,ST세종W몰점,엠브릿지,127.2575205,36.50195298
ABC헤어,16561017,다정점,다정프라자,127.2486071,36.49443508
AMAZON,12477644,,해피라움7,127.2584589,36.5159277
AM핫앤덕,12466057,,,127.2054152,36.49730952
ANDREO,16738409,,에이스프라자,127.2401009,36.51165756
ANDREO,16036957,,도램마을7단지,127.2598223,36.50993406
ANJOU,12649869,,,127.3013666,36.59895415
AN화장품,16214322,,가락마을11단지,127.2305716,36.51229041
Aqua,25044037,,,127.2216586,36.4379089
AUCAFE,12473056,,중앙타운,127.2624501,36.5083011
Auri,16262557,,중앙타운,127.2624501,36.5083011
Bake229,16639749,,네이버타워,127.288245,36.47708624
BBQ치킨,16695476,반곡점,수루배마을2단지,127.3110338,36.49709198
Bbq치킨,16245121,,세종영광프라자,127.2510038,36.48663657
BBQ치킨,11913415,금남점,,127.280343,36.4627364
BBQ치킨,12059712,연기보통점,,127.2747302,36.55496023
BBQ치킨,8588537,,,127.2034795,36.67938466
BBQ치킨,23265925,세종아름점,,127.2490615,36.50864115
BBQ치킨,17053829,나성점,디펠리체,127.2587739,36.49108305
BBQ치킨,12478108,세종고운점,강남빌딩,127.2360641,36.5191389
BBQ치킨,12633820,올리브카페세종시청점,세종시드니,127.2902351,36.47790919
BBQ치킨,8875179,화면마을점,,127.2532419,36.66703633
BBQ치킨,17239849,세종고운점,가락마을18단지근린생활시설,127.2361867,36.52029325
BBQ치킨익스프레스조치원점,25358716,익스프레스조치원점,,127.2911476,36.61397097
BBQ치킨조치원홈플러스점,20148359,조치원홈플러스점,,127.2981245,36.58669669
BBQ펀앤정,23271205,,,127.2747302,36.55496023
BHC치킨,25403767,세종장군점,,127.2219422,36.49995086
BHC치킨,12455750,세종시청점,금강베네치아,127.2935533,36.48362462
BHC치킨,12578922,한국영상대점,한국영상대학,127.2097434,36.462407
BHC치킨,11892312,고운점,가락마을6단지,127.2390041,36.50280963
BHC치킨,16149493,세종연기점,,127.2776929,36.54508289
BHC치킨,17172768,세종반곡점,왕관빌딩,127.3127101,36.49812904
BHC치킨,16007942,세종대평점,,127.2803543,36.46271844
BHC치킨,16083936,세종도담점,도램마을11단지,127.2606407,36.51309339
BHC치킨,14525367,세종아름점,"세석빌딩,세종중앙농협아름지점",127.249864,36.51224206
BHC치킨,14525332,세종종촌점,종촌파크프라자,127.2498513,36.50314869
BHC치킨,16318152,세종종촌점,가재마을2단지,127.2445695,36.50216908
BHC치킨,16296638,세종부강점,,127.3655728,36.52987453
BHC치킨세종점,8588984,세종점,첫마을3단지,127.2608924,36.47838896
BOBBYLONDON,17263369,,,127.2881523,36.61511567
BREAD80,17118091,,,127.2921172,36.59105907
BS차이꼬막짬뽕CGV점,12473712,CGV점,몰리브,127.2476344,36.50267511
by.루이,16576825,,새뜸마을3단지,127.2459205,36.48602777
BYC,12641619,,,127.2818644,36.46713454
BYC,25322836,,,127.2818096,36.46703507
BYC대영도매,16480765,,,127.2989161,36.60048983
by민희헤어살롱,16642768,,수루배마을1단지스몰마켓,127.3070322,36.49896137
C&C치킨,6742078,,대청상가,127.2800689,36.46341968
CAFEB.Y,12335422,,가락마을17단지,127.2374552,36.51847189
CafeGAGA,23340007,,,127.2987311,36.59870435
CAFENOBRAND,12480878,,어진프라자,127.2628717,36.50740249
CAFESTONE,11975993,,,127.2467175,36.6133199
COCO,16459500,,도램마을11단지,127.2607075,36.51311183
COERS,25276937,,,127.1574467,36.72074759
COFFEECHARGE,12633058,,,127.2120479,36.70041231
coffee빈트,12606203,,,127.2982451,36.58819341
crackacode,17044393,,,127.1583358,36.72442168
CU,24219038,조치원침산점,,127.2915449,36.60353738
CU,12427187,세종소정점,,127.1509404,36.6996047
CU,3907313,,욱일아파트,127.2941772,36.60292216
CU,16598375,세종가락마을8단지점,가락마을8단지,127.2406285,36.5056498
CU,25865724,세종패션타운휴게소점,,127.2902602,36.57294273
CU,16595860,세종수루배마을4단지점,수루배마을4단지,127.3136862,36.4988286
CU,16596296,세종메디컬센터점,세종메디컬센터,127.2772323,36.47211739
CU,16608533,세종이편한푸르지오점,가온마을4단지,127.2487168,36.49231791
CU,16602657,세종수루배마을3단지점,수루배마을3단지근린생활시설,127.3076432,36.49929837
CU,16731546,세종가재마을1단지점,가재마을1단지,127.2414393,36.50150034
CU,11805462,세종시청점,리버뷰프라자,127.2888024,36.48082063
CU,16686997,세종가재마을4단지점,가재마을4단지,127.2429483,36.50816993
CU,11803924,한국영상대학교점,한국영상대학,127.2097434,36.462407
CU,11792858,세종세진점,세진이너스빌,127.2596973,36.48318507
CU,16257984,,가재마을5단지,127.2453131,36.50147084
CU,12625418,세종연서빌리지점,,127.2839645,36.56504653
CU,4490121,세종새마을점,,127.22072,36.49938413
CU,12612512,세종고운드림점,성진프라자,127.234781,36.51904957
CU,11807454,세종힐스점,첫마을6단지,127.2546661,36.47481744
CU,12681125,세종에비뉴힐점,에비뉴힐,127.262186,36.49496142
CU,16773328,세종이편한세종점,해들마을6단지,127.2768499,36.47484578
CU,17073348,세종새샘마을9단지점,법조타운B,127.3020291,36.4892711
CU,17075674,세종1번국도점,,127.2907017,36.62481881
CU,17053888,힐스테이트고운점,가락마을18단지,127.2342204,36.52155135
CU,20809254,세종사랑점,첫마을5단지,127.2490499,36.47515174
CU,24466929,부강점,,127.3680801,36.52640012
CU,17125140,세종에스알파크시티,SR파크시티,127.2557866,36.49300208
CU,16110496,세종호려울마을8단지점,호려울마을8단지,127.2962422,36.47753922
CU,10587097,세종블루지움점,참미르빌딩,127.2605003,36.48207253
CU,16062637,세종도램마을1단지점,도램마을1단지,127.2563693,36.51144465
CU,12489042,세종해피라움점,해피라움2,127.2494765,36.51190617
CU,16081563,평리점,,127.3010285,36.60421521
CU,24891901,세종장군행복점,,127.2057368,36.49751894
CU,8814789,연기소정점,,127.1568265,36.71911206
CU,16060654,세종펜타힐스점,지엘플렉스1,127.3014758,36.48501408
CU,23228044,조치원역점,,127.297246,36.60101171
CU,12451332,세종호수의아침점,호수의아침,127.2671988,36.49483911
CU,20771690,전의점,재동아파트,127.2069545,36.67983141
CU,12478645,세종종촌중앙점,종촌중앙프라자,127.2495346,36.50473284
CU,12479407,세종메가시티점,메가시티,127.2481243,36.50281338
CU,12443715,세종명학산단점,,127.3393475,36.53969062
CU,12516487,세종지운점,세종의아침,127.2614584,36.48224069
CU,12516034,부강대로점,,127.3575626,36.53299494
CU,12121928,세종아카데미점,세종아카데미타워,127.2433778,36.51221912
CU,12121912,세종휴시티점,세종한신휴시티,127.2586084,36.51429742
CU,12513488,세종푸르지오점,세종시푸르지오시티,127.2639286,36.49599957
CU,16274338,세종세움점,세움빌딩,127.2507852,36.48500399
CU,13649205,세종가락마을4단지점,가락마을4단지,127.2372689,36.50672785
CU,5253515,조치원원리점,,127.2968572,36.60198272
CU,16309649,정부세종청사점,고용노동부,127.2616561,36.50139285
CU,12624905,세종범지기점,범지기마을4단지,127.2478376,36.50936343
CU,16315730,세종영상대점,,127.2120597,36.45952939
CU,3699326,연기소정점,,127.1569385,36.71910384
CU,20727795,조치원월하점,,127.2925386,36.57672333
CU,24466928,부강대로점,,127.3579431,36.53289786
CU,3880623,조치원욱일점,,127.2927507,36.60368874
CU,5846702,조치원장원점,,127.2886422,36.62871775
CU,12521601,세종서창고대원룸점,,127.2848287,36.60821958
CU,11725705,세종블루지움점,블루지움,127.2568935,36.49163912
CU,15982967,세종연기점,,127.2783357,36.5456185
CU,4771102,고대한마음점,,127.2897968,36.60767252
CU,8642621,연기남면점,,127.2773237,36.54514374
CU,17221682,세종마스터힐스2차점,해밀마을2단지,127.268406,36.53024636
CU고대한마음점,25633335,고대한마음점,,127.2905456,36.60769501
CU새뜸마을10단지점,15961926,새뜸마을10단지점,새뜸마을10단지,127.2510968,36.48856577
CU서창고대점,12618528,서창고대점,,127.2894213,36.60840026
CU세종대로점,12427186,세종대로점,,127.1536853,36.69728117
CU세종도램마을점,12462925,세종도램마을점,도램마을8단지,127.2584042,36.51113288
CU세종스타힐점,12514014,세종스타힐점,스타힐타워1,127.2892712,36.47836308
CU세종홍익대정문점,12488999,세종홍익대정문점,,127.2902223,36.62223852
CU조치원선영점,20793414,조치원선영점,,127.290082,36.62290457
CU조치원전의점,4666070,조치원전의점,,127.2069563,36.6796602
CU조치원중앙점,8972921,조치원중앙점,,127.2979003,36.60404362
CU침산타운점,13648224,침산타운점,,127.2892566,36.60076607
DIONECOFFEE,12110383,,온드림프라자,127.2422353,36.51259939
dior,16769703,,해피라움5,127.2580659,36.51381641
DK자동차용품점,24473772,,,127.2899491,36.6142342
DRP셰프팀,17159433,,해오름빌딩,127.285345,36.47936703
DRY114번암주공,23018166,,번암주공아파트,127.2935987,36.58668798
D마트,11861669,,범지기마을10단지,127.25183,36.51909464
D마트명품한우,9010738,,,127.3655665,36.53064955
E1가스판매소,11791580,,,127.2175953,36.67425133
EA타이어,16118739,,,127.3559482,36.55665222
EDIYACOFFEE,12633617,,지엘플렉스1,127.3014758,36.48501408
EDUART,16245170,,세종영광프라자,127.2510038,36.48663657
EIE고려대학교국제어학원,12641749,,세움빌딩,127.2507852,36.48500399
EiE고려대학교국제어학원새롬학원,12557506,,세움빌딩,127.2507852,36.48500399
E-세종공인중개사사무소,22002525,,,127.2816672,36.46795346
e세종롯데공인중개사사무소,12208337,,가락마을8단지,127.2406285,36.5056498
E안경,22424876,,,127.3034626,36.60326517
e편한세상단지내공인중개사사무소,12205267,,조치원신흥E-편한세상아파트,127.2850543,36.5934682
E해법수학,11918594,,첫마을5단지,127.2490499,36.47515174
e해법수학교습소,12655723,,범지기마을3단지,127.24384,36.51863871
FarmtoTable,17169222,,,127.3014994,36.59413346
FOR레이디,22094390,,욱일아파트,127.2941772,36.60292216
FUN포차,12478553,,세종한신휴시티,127.2586084,36.51429742
Fx에프엑스수학INS,16453982,,범지기마을8단지,127.2498172,36.51478319
G.M건축인테리어,16520764,,,127.2883462,36.60618589
G1230,20745430,,,127.2961795,36.59537287
G1230수학학원,11061104,,첫마을6단지,127.2546661,36.47481744
gfood,17057118,,욱일아파트,127.2941772,36.60292216
GF국제어학원,14264001,,금강빌딩,127.2500229,36.50271718
GF아트샘미술학원,12488252,,금강빌딩,127.2500229,36.50271718
GINAS,24435261,,푸르지오1차,127.289886,36.59184787
GMA개념원리수학전문학원,9242453,,욱일아파트,127.2941772,36.60292216
GNB어학원,25712083,부강국제캠퍼스,,127.3642801,36.52955222
GNB어학원,25656044,봉암캠퍼스,,127.2821885,36.56259357
GNB어학원,25606053,전의캠퍼스,,127.2021219,36.67975407
GNB어학원,16133964,세종강남,아평빌딩,127.2883823,36.47671755
GNB어학원,24284741,조치원캠퍼스,,127.2940675,36.59534236
GNB어학원금남캠퍼스,25650053,금남캠퍼스,대청상가,127.2800689,36.46341968
GNB어학원종촌캠퍼스,12641092,종촌캠퍼스,호만빌딩,127.2497626,36.5042386
GNB영어전문학원,16476460,조치원,,127.2940675,36.59534236
GNC바이오,25709255,,,127.2692541,36.66187267
Go민수학,16246745,,행운빌딩,127.2503427,36.48574922
GS25,16098863,세종파크점,SR파크시티,127.2559544,36.49296708
GS25,23234606,조치원남리점,,127.298589,36.59711739
GS25,3168376,봉안빌리지점,행복타운,127.222889,36.50127281
GS25,16751333,세종미래도,도램마을19단지,127.2660978,36.51570457
GS25,16608981,소담중흥점,새샘마을9단지,127.2997478,36.4910061
GS25,16603595,새롬복지센터점,한스웰시티,127.2583228,36.48571798
GS25,16606641,세종호수공원점,,127.2691346,36.49670749
GS25,24325267,연기행복점,GS25연기행복점,127.283025,36.56273378
GS25,16726743,세종해들마을점,판타지타워,127.2779977,36.47260868
