상호명,상가업소번호,지점명,건물명,경도,위도
&#49406;,16498806,,,129.3317533,35.53583882
010텔레콤,24928844,,,129.3125633,35.53969051
02DIVERSHOP,24648752,,,129.4190933,35.50376583
032대게,14326353,,,129.4502707,35.57151477
04위로엉클포크,25705812,,,129.2610899,35.54194329
052인테리어,16757998,,,129.3243432,35.53717324
1%영어전문아카데미,24857141,,,129.2901573,35.53565108
"1,2,3남성헤어",12603938,,,129.3010661,35.5406353
1.2.3노래연습장,24329696,,,129.3180269,35.54539028
1.2.3노래연습장,24309367,,,129.3407585,35.56012835
1000CC커피,17103936,,,129.3216313,35.55468837
1001,22231183,삼산점,,129.3374488,35.54016515
1001수암점,28498657,수암점,,129.3187002,35.52925849
1001안경,22198596,명덕점,,129.4328109,35.5245769
1001안경,24018734,수암점,,129.3187002,35.52925849
1001안경,22286670,시청점,,129.3125104,35.53982628
1001안경,11065372,명덕점,,129.4326908,35.52464142
1001안경콘택트,25683233,공업탑점,,129.3100977,35.53318282
1001안경콘택트,25730136,시청점,,129.3125104,35.53982628
1001안경콘택트,14356763,언양점,,129.1144133,35.56054935
1001안경콘택트,22226991,꽃바위점,장보아이빌,129.4153899,35.48303429
1001안경콘택트,17248699,수암점,,129.3187002,35.52925849
1001안경콘텍트꽃바위점,11920736,꽃바위점,,129.4153899,35.48303429
1004가드,25053680,,,129.3204859,35.556134
1004안경,28498608,동울산점,,129.4263142,35.5113237
100도씨짬뽕,15980847,,(주)부성기술산업,129.1782995,35.55439876
100도짬뽕,16027136,,(주)부성기술산업,129.1782995,35.55439876
100반찬,17085028,,,129.3129799,35.54630158
100점영어,16688044,,송정하우스디,129.3657985,35.60506536
101번지남산돈까스,16600695,울산중구점,홈플러스울산점,129.3348731,35.56440275
101번지남산돈까스,16739353,현대백화점울산점,현대백화점,129.3358292,35.53958824
1026몽마르뜨,17105805,,,129.3182568,35.53922281
102HAIR,16147664,,어울림아파트,129.3239485,35.53194097
103헤어쌀롱,12099014,,,129.3246362,35.54292037
10TAN,24717139,,,129.4271495,35.53982186
10회집,25993126,,일반부두경비초소,129.3851175,35.50795522
114공인중개사사무소,22209426,,,129.2857403,35.55321976
114공인중개사사무소,16519476,,,129.2942091,35.53527418
114공인중개사사무소,14320288,,,129.1163007,35.55825152
114부동산,11837889,,한라아파트,129.3034182,35.53811327
114부동산공인중개사사무소,14222306,,한라아파트상가,129.3034182,35.53811327
114부동산공인중개사사무소,16612229,,이진빌라,129.3171501,35.53290771
114부동산중개,22220735,,,129.3246773,35.55413218
118경양식,17009920,,,129.424074,35.498074
119단란주점,26577861,,,129.3149891,35.53899711
119청소,16143961,,구룡유토빌,129.3153179,35.53617243
11롯트,16959920,,,129.3582121,35.55840978
11번횟집,21939670,,일반부두경비초소,129.3851175,35.50795522
11브레드,16971103,울산점,메가마트,129.356471,35.56243116
12:00,23457888,,,129.3218785,35.55564104
123노래연습장,25894346,,,129.3177715,35.53584821
123막창,12568838,무거점,,129.2601814,35.55012771
123막창,12072802,삼산점,,129.3369538,35.53691692
123막창,17103959,명촌점,,129.3552058,35.55803803
123막창,17102781,화봉점,,129.3667045,35.59344641
123막창,17098341,울산언양점,,129.1240736,35.57143782
123막창,16046546,신정점,,129.3127194,35.54520482
123막창강동점,12664346,강동점,,129.4376902,35.63170913
123막창우정,17067588,혁신점,혁신더테라스,129.3128243,35.56381568
125할인건강,24888926,,,129.3618994,35.57360016
125활인건강디딤발교정구,24968733,,,129.3483347,35.57255392
127연대2대대,19957588,,,129.427065,35.58669007
12h퓨전카페,12520965,,,129.3487726,35.65189905
1319영어교습소,24945533,,,129.2976344,35.55145195
13579헤어,15954277,,,129.3296398,35.5387283
137코다리,17049447,,태화강풍림엑슬루타워,129.3074861,35.548236
1469PC,16643178,일산점,,129.4283521,35.50252993
1469PC,17081286,방어점,,129.4213671,35.48643405
1469PC방,17010339,서부점,,129.4262322,35.53908464
1469피씨,17144526,,,129.4199365,35.49405789
14번회집,25993399,,,129.3875576,35.50498892
14호,24595732,,농수산물도매시장,129.34178,35.538026
153뮤직,12498816,,,129.2572117,35.55276351
153산내밥상,17208108,,,129.3416124,35.54120948
153음악학원,28450831,,,129.2572117,35.55276351
153해물회집,9227560,,,129.3456106,35.38880639
155번풍년상회,24342053,,농수산물도매시장,129.34178,35.538026
16.9너의온도,12639584,,,129.3533008,35.62836963
1638씨에씨에,17021277,,,129.2605738,35.54208388
166까페,17154432,,,129.322475,35.55636456
16온즈,12597339,,,129.331156,35.52504773
17hair,12625785,,,129.4242055,35.49365607
18호두꺼비상회,16755650,,방어진항활어센터,129.4242373,35.48359715
1919공인중개사사무소,14212765,,나인파크삼산,129.3399468,35.53919105
1970새마을포차,16644671,울산삼산점,,129.3344978,35.53776432
1970새마을포차,17171731,일산점,,129.4280493,35.49662999
1974종로호랑이맥주,16588357,삼산점,,129.3373197,35.53770601
1981,16954371,달동점,,129.3239695,35.54060232
1981BAR,16589551,,,129.3468885,35.54084422
1981레스토랑,16606010,,,129.3124719,35.57331928
1982땡구비루,20833463,,,129.3105089,35.42748073
1984나폴리,16728857,울산점,,129.2399818,35.5275428
1984반찬,17020986,,,129.322564,35.54163622
1984반찬,17141750,,,129.324275,35.54040068
1990,16573877,,,129.2588168,35.54678908
19레스토랑호프,22888157,,,129.3216163,35.55377821
19텔레콤,16567688,,,129.313288,35.54558619
1cmhair,12522326,,,129.3118885,35.54497051
1급광림특장정비,11036243,,,129.3643892,35.57469862
1급여천자동차종정비공업사,22168656,,,129.3428376,35.524071
1급우리자동차정비,15485856,,이목분재원,129.1881522,35.55911512
1급유창자동차종합정비,24367551,,,129.2831177,35.42026683
1급정비솔로몬,24642898,,,129.3393066,35.54578671
1급정비처용공업사,22207335,,,129.3345216,35.44123328
1급중앙자동차정비공업사,15486600,,평화빌라,129.1194416,35.56995768
1급첨단자동차검사정비,20744840,,,129.3405098,35.54585445
1급태건엔진,16332436,,,129.3088546,35.48581421
1급태화강공업사,20775156,,,129.3512454,35.53696493
1급한성종합정비,24559622,,,129.348,35.53345912
1도씨맥주,16684644,,,129.2602153,35.54101506
1도의기적,24683077,,,129.3426602,35.5709769
1등떡볶이,17151461,,,129.3401036,35.55259172
1등복권방,22257660,,,129.1246231,35.56418603
1등복권방,21056394,,달동삼성아파트,129.322588,35.53369543
1등부동산,25996052,,로얄P&K,129.4142704,35.48392168
1만원대울산남구출장세차,16214403,,,129.4259694,35.49992632
1박2일노래주점,23330420,,,129.4298513,35.51248956
1박2일민속촌,20500467,,,129.3086365,35.53147718
1번가,16212684,,,129.3254243,35.54658003
1번가customtailor,25391415,,,129.3254243,35.54658003
1번가공인중개사사무소,15964988,,,129.1221338,35.57315039
1번가김치찜&콩사랑돈까스,16688643,,,129.225501,35.56206712
1번가뒷고기,23289948,,,129.2630953,35.55168353
1번가양복점,25650391,,,129.3254243,35.54658003
1번가양복점,16577585,,,129.324193,35.54547594
1번가중고폰,25144877,,,129.3272622,35.53832186
1번지공인중개사사무소,15485947,,,129.290625,35.55314053
1산지자연산곰장어,16948010,,,129.4298473,35.49796065
1식,17102458,,,129.3320641,35.54063034
1인독서실,24951323,,,129.4275165,35.51696963
1인분추가요,26579394,,,129.3148263,35.53037335
1인오투독서실,21126897,,미소어린이집,129.4185607,35.50105917
1인이룸독서실,16759521,,,129.2912918,35.53419683
1인한식당,17148326,울산점,,129.3171896,35.55352922
1일1치킨&떡볶이,16993115,울산온양점,,129.2840215,35.40852189
1일족발,16646154,,,129.3133107,35.43387674
1호닭갈비,17431814,,,129.3514418,35.65433866
1호닭발,17024935,,일신에일린의뜰아파트,129.3495741,35.56751981
1호점,22875902,,,129.0397229,35.61748672
20000헤어,23153240,,매곡휴먼시아,129.3516734,35.64383604
2030사람들음식이야기,22953890,,,129.3310264,35.54122765
2046오리엔탈그릴,17084697,,현대백화점,129.3358292,35.53958824
2046팬스테이크,17155528,,"롯데백화점,울산고속버스터미널",129.3387628,35.53894282
207스튜디오,17223383,,,129.4190531,35.49960229
21C꽃이벤트,26575844,,,129.335029,35.53854257
21C울산체대입시연수원,26576262,,,129.2610909,35.54623354
21C정비공업사,24454039,,,129.3477705,35.5573102
21번회집,25993840,,농수산물도매시장,129.34178,35.538026
21세기가사원,22259210,,,129.3303175,35.53903628
21세기건강클리닉,26577507,,,129.3118982,35.54150938
21세기노래방,8626390,,,129.3192398,35.52921654
21세기노래방,21099961,,화봉연세치과,129.3656844,35.58796007
21세기미술학원,14292686,,선경1차아파트,129.3088076,35.55897427
21세기식당,22916842,,,129.3335063,35.52316507
21세기익스프레스,21582639,,,129.2953284,35.55071063
21세기좋은꽃집,21058889,,,129.3254959,35.5475797
21세기좋은로또,15486606,,,129.3506644,35.62848935
21세기좋은병원매점,24022320,,,129.2553041,35.55208938
21세기창호,22233726,,,129.299382,35.54082471
21세기창호,28204695,,,129.3211983,35.53905542
21세기특수세탁,22947500,,,129.2811272,35.55511656
21좋은환경,16167558,,남운프라자,129.2653791,35.55173169
225토마토스트릿,17051040,호계점,,129.3574723,35.62959351
225토마토스트릿,25996098,,,129.2956697,35.54998592
225토마토스트릿,16078498,,,129.2402372,35.56847799
23번,25996148,,일반부두경비초소,129.3851175,35.50795522
24시e조은편의점,15484843,,,129.3060678,35.53966189
24시국수촌,22554060,,,129.3312412,35.53954885
24시노래연습장,15485981,,,129.3527561,35.6294573
24시다방,22889914,,,129.3171686,35.55494451
24시다방,13938144,,,129.3231642,35.55669048
24시동해곰탕전문,25501332,,,129.341773,35.55746723
24시로타리편의점,15484292,,,129.2636132,35.55094804
24시마트,24999835,,,129.3460808,35.57168683
24시막창,20337153,,,129.4283173,35.51239057
24시명가옥전전주콩나물국밥,16467737,,소망빌,129.3140466,35.43511256
24시무인빨래방,16664957,,남운럭키맨션,129.3309449,35.56832179
24시밀양돼지국밥,25722547,,,129.3574807,35.55755277
24시부동산,11799235,,,129.1115796,35.53985393
24시부산돼지국밥,12640944,,,129.3571527,35.55837665
24시부산돼지국밥,12005012,,,129.3525125,35.54281822
24시셀프빨래방,25577930,,,129.3161091,35.53263066
