상호명,상가업소번호,지점명,건물명,경도,위도
[급속][HAPPECHARGER]제주시농협하나로마트제주점전기차충전소,12428701,,제주시농협하나로마트,126.5531572,33.50377606
_커피,14337702,제주대리점,혜성무지개타운,126.5421252,33.49614562
007세탁,23078991,,노형지산위더스빌,126.4725721,33.48363241
007포차,16530257,,,126.4919583,33.48808018
0258펜션,28511663,,,126.897197,33.41052628
03커피,17159345,,,126.5177544,33.50104951
064바당,25325958,,갯머리낚시슈퍼,126.80664,33.30527914
064왕돌판모둠구이,17006328,,,126.5520391,33.47267657
080안경체인,24033670,일도점,,126.5326804,33.51317304
0공1일안경,25995364,,,126.2649146,33.41448271
1%농수산,16477580,,,126.5407236,33.51682025
1.5커피,16957082,,,126.276818,33.27966855
1+1단란주점,15397093,,,126.5259737,33.49992144
10×10,22804070,,,126.52949,33.49880921
1001안경콘택트,22207801,제주일도점,유성빌딩,126.5429642,33.50258373
1004댄스스쿨학원,25183485,,,126.5284533,33.50029352
1004댄스아카데미,17219040,,,126.5284533,33.50029352
1004방송댄스아카데미,20748634,,,126.5284533,33.50029352
1004카페,12583738,,,126.2790418,33.27574151
100세건강다이어트,23296626,,,126.5347596,33.50155834
100프로스킨케어,23315906,,,126.5738917,33.25184876
102스테이,12585816,,,126.3858402,33.24351828
1080칼국수,25704081,,,126.5177887,33.50030162
108동포차,11851171,,,126.6768321,33.49393385
1100고지휴게소,23031361,,1100고지휴게소,126.4624828,33.35783732
1100로음식점,12552016,,,126.444273,33.26228585
1110,17122191,,,126.6747722,33.27536122
11417파리바게트서귀포1호광장,15486329,,파리바게트,126.5604642,33.25270384
114그릇백화점,25013873,,,126.4751186,33.48259992
114그릇백화점,16725743,,,126.4738571,33.48152956
114노래연습장,21665747,,SK텔레콤,126.5614249,33.25170516
114세탁소,25906658,,,126.479384,33.47739619
114세탁소,25714196,,대륙빌라,126.4755757,33.48659948
114중고시장,21707029,,,126.4889737,33.49451707
114중고시장,21448586,,청화빌라,126.4890866,33.49358984
1158NAIL,25023548,,아키제주1205,126.3365612,33.4670779
1158게스트하우스민박,25993735,,아키제주1205,126.3365612,33.4670779
119타이어,24691834,서귀포점,,126.5766496,33.25449504
119타이어,16331717,아라점,,126.5492983,33.49382261
119타이어,24875055,노형점,,126.4678707,33.47872394
119타이어,24770675,제주점,,126.5373375,33.49672931
119타이어,24954877,삼화점,,126.5690561,33.51139875
11번가,11848069,,,126.833719,33.32475927
11월펜션,16313592,,,126.239238,33.27387677
123마트,25666883,,,126.4907364,33.48967009
12월펜션,16313594,,,126.2389512,33.27372846
141,17164790,,,126.7663076,33.29927707
153분식,16434840,,,126.5704398,33.25888679
17마일,25788489,,,126.6999175,33.53903266
17번가,12611192,,,126.4049394,33.48193283
1826번지귤창고,16750896,,,126.2698409,33.24811619
183편의점,17150539,,,126.568354,33.46316505
185펜션,12602207,,,126.8598453,33.35726258
187센티멘트,17053697,,,126.5585377,33.25043651
1943,17168761,제주연동점,,126.4905537,33.48655745
1943,17216526,제주시청점,,126.5287537,33.49971106
1968연희동,17151212,,,126.3014683,33.28102664
1970새마을포차,17170244,제주연동점,,126.4905537,33.48655745
1970포차,16740730,,,126.5724374,33.25813435
1974한식뷔페,16628079,,진현빌딩,126.4912119,33.48148963
1984어썸,16413416,,,126.5301188,33.49725695
1988포차,22944357,,,126.4913019,33.48746813
19티,16953146,성산일출봉점,,126.934291,33.46127006
1급상용종합자동차,21466202,,,126.5793132,33.2901392
1미리,16404223,,,126.2422995,33.3935101
1번가옛날통닭,16005658,,,126.5588396,33.44918844
1번지해장국,12642534,,동홍5주공아파트,126.5619932,33.26483018
1월펜션,16313568,,,126.2393252,33.27434681
1프로스위치,17038449,,,126.5534242,33.48902035
1피씨티,17243580,,상우주택,126.5161319,33.51288574
1호이마트신제주점,22931380,이마트신제주점,이마트,126.4804892,33.48495587
20000샵안경,12279071,,,126.5248665,33.51253929
2002년노래연습장,21641759,,,126.5110441,33.25360054
2003신덴뿌라떡볶이,17190545,,삼성원룸,126.4914303,33.48750576
2010홍포차,17124961,,,126.2648,33.40997341
2020포차,16719780,,,126.747611,33.55409407
2040엔젤펌,20744369,,,126.4905852,33.487225
204키친,16581419,,,126.5302708,33.49717761
21C하우징,23072916,,,126.530566,33.51282341
21세기,25993817,,,126.5150027,33.50023219
21세기댄스스포츠스쿨,21687078,,,126.4918062,33.48816848
21세기이삿짐센타,21441055,,영하우스,126.4788374,33.49020076
21세기자연치유건강힐링센터,20261644,,,126.4881388,33.48683454
21세기컴퓨터클리닝,25856723,,,126.5758795,33.25500014
21앤비어,17023618,,,126.3337156,33.24924098
21헤어아트,23166151,,현우빌라,126.5144383,33.50114503
23시3급공업사,11252945,,,126.5628846,33.51036262
23시3급공업사,24316493,,,126.5684293,33.51220293
24메아리노래연습장,15485770,,동홍동해피앙스,126.5723341,33.24997356
24시개인용달이삿짐센타,21520127,,,126.4935538,33.48666609
24시누름돌김치찌개,17049751,,,126.4958762,33.48551324
24시메아리노래연습장,25671321,,한솥도시락,126.5616757,33.25014827
24시보일러서비스,21659436,,,126.5689973,33.25586782
24시빨래방,11999871,,,126.5501842,33.47424167
24시빨래방서홍점,25851350,서홍점,맛좋은집,126.5602912,33.26455803
24시뼈감탕,20275396,남원점,CU,126.7183403,33.27909097
24시뼈다귀탕,14217783,동홍점,,126.5730776,33.25704173
24시뼈다귀탕,16982173,중문점,중문청년회의소,126.4306039,33.25010487
24시뼈다귀탕삼화점,14056691,삼화점,,126.5692502,33.51856854
24시뼈다귀탕신,25996112,,,126.4918159,33.49008894
24시뼈다귀탕신서귀점,12626920,신서귀점,인터넷카페&PC게임,126.5076227,33.25349641
24시뼈다귀탕신제주점,11300998,신제주점,,126.4918159,33.49008894
24시셀프빨래방,16762331,동광점,,126.5485384,33.50067471
24시셀프빨래방,25234082,,,126.542315,33.49252352
24시셀프빨래방법원점,25762759,법원점,,126.5376559,33.49187358
24시셀프빨래방화이트클린신천지점,25657190,화이트클린신천지점,,126.5454559,33.50417273
24시셀프빨래방화이트클린이도점,25773616,화이트클린이도점,행복한집6,126.5345411,33.4896189
24시셀프빨래터,20724030,,,126.479384,33.47739619
24시송가해장국,16016512,,,126.5640635,33.24718251
24시심부름센타,21437166,,,126.4883676,33.47675779
24시안마원,13653586,,,126.5222472,33.49884024
24시얼큰시원생고기김치찌개,16597375,화북점,재이앤헬스센터,126.5724541,33.51354765
24시얼큰시원생고기김치찌개,17087589,아라점,,126.5446675,33.4766834
24시에덴편의점,25865715,,,126.7117379,33.5528965
24시열쇠,21459144,,,126.5322998,33.50065469
24시열쇠,25995433,,,126.4323853,33.48610569
24시열쇠친구,21686947,,,126.4479274,33.49483912
24시이가네,25994255,,,126.4912369,33.48625022
24시자동차용품,24505621,,,126.4659018,33.48483023
24시자동차정비,24716336,,,126.5307709,33.50261102
24시자연산활어,25769358,,,126.1797079,33.3031216
24시전주명가콩나물국밥,23327550,,,126.5408174,33.48494166
24시전주명가콩나물국밥,17003878,,,126.5628803,33.24735818
24시전주명가콩나물국밥,16092679,일도점,경천빌딩,126.5425321,33.50332695
24시전주명가콩나물국밥외도점,12634795,외도점,,126.4311228,33.48511602
24시전주콩나물국밥,25906278,,천안빌딩,126.4767355,33.48918321
24시전주콩나물국밥,16005441,,,126.264758,33.41803258
24시전주콩나물해장국,11948434,화북점,재이앤헬스센터,126.5724541,33.51354765
24시제주해장국,17125459,,,126.4916123,33.49004138
24시직업소개소,20727875,,,126.5352519,33.51386162
24시직업소개소,20753506,,,126.5290744,33.51319338
24시편의점,25682851,꼬꼬파티,,126.5371783,33.51706694
24시회센타,25890631,,,126.5175117,33.50455372
24앤드365편의점,16748688,,,126.6730151,33.43231373
24케이,17207490,,,126.5287537,33.49971106
25시자동차공업사,20835731,,,126.4752691,33.48997659
25시중문안마원,16233769,,,126.4251814,33.25210095
25시청과건어물,26574993,,밸리스빌딩,126.4896996,33.48741255
27번가편의점,23171246,,,126.825486,33.55585816
27헤어,16073198,,강호체육관,126.5486938,33.47458486
28페이지,23075925,,,126.4903765,33.48871004
2FACE,25513908,,이레하이텔,126.4825367,33.48169024
2K,24329321,,,126.4779469,33.48698024
2도비어,16506594,제주연동점,,126.4873813,33.48398536
2도비어,16659710,이도점,,126.5446816,33.49384961
2도카페,16085860,,휴팰리스,126.5326767,33.48724373
2도헤어,17212898,,,126.5516135,33.49437261
2미장,23082449,,,126.265126,33.41250228
2미장,16027215,,,126.265251,33.41270236
2번통닭,12266386,,초록분식,126.5642449,33.24855505
2번통닭,21982757,,,126.564442,33.24831389
2월22일,17042316,,,126.5172059,33.49409183
2월펜션,16313569,,,126.2391962,33.274354
2헨느,15982799,,,126.5351014,33.48701997
"3,5,6화장품",14165322,,,126.5239183,33.5106978
300당구장,21666794,,300당구장,126.9123222,33.45373096
3030영어,16503286,삼화도련교습소,,126.5812435,33.51709267
30KM,16044701,,,126.5315524,33.49775179
30년엄마손해장국,11988430,,,126.5491959,33.49932103
30년일소추어탕,23317262,,,126.4945258,33.48956292
30년할매닭발,16670445,모슬포점,,126.2520801,33.22239871
30년할매닭발,12563229,,,126.5585905,33.26224824
30년할매닭발,16957439,인제점,가나다주택,126.5432457,33.50248786
30년할매닭발,16681534,표선점,,126.8331731,33.32623284
30년할매닭발,15484409,외도점,,126.4307631,33.48895211
30년할매닭발,16592228,중문점,,126.4228432,33.25204427
30데이즈,16376701,,에코블루,126.4917291,33.48144183
316모터스,16410604,,,126.5751924,33.52181059
358소주타운,16512050,,스페샬,126.7182278,33.27871113
36.5도여름,17057283,,,126.3282936,33.43938839
3657,23394041,,,126.3623491,33.236278
365더바삭,17179379,,,126.5345537,33.48567916
365시스템에어컨,14259371,,,126.5666718,33.49346583
365중고,20742630,,,126.5268556,33.49233167
365화장품,24191273,,,126.5239183,33.5106978
369노래타운,16637930,,,126.5624485,33.24948099
37레스토랑,17249291,,,126.6947479,33.27464389
38광택,16460118,,,126.5616819,33.51215181
38선주유소,24148587,,,126.4854585,33.47577562
38포토그라피,17247135,,,126.6068397,33.2427913
39.27만나지압원,25997795,,,126.5210614,33.49959243
3B주니어영어학원,21515915,,,126.4663048,33.48394267
3라운지,17108604,,,126.6729053,33.54392123
3번여인숙,22023941,,3번여인숙,126.2514222,33.22042406
3번지여인숙,23036842,,,126.5603327,33.24960077
3월펜션,16313565,,,126.2389387,33.27435035
3인칭관찰자시점,17077234,,,126.1812519,33.34973551
4.2캐쥬얼다이닝서귀포점,14159817,서귀포점,비스타케이호텔(천지연),126.5590147,33.24817899
4470세탁소,23008821,,,126.5575776,33.26380529
4B화방,16296529,,,126.5382879,33.48884272
4B화방,14172177,,,126.5222718,33.50942499
4D게임랜드,14187017,대학로점,,126.5297115,33.49843318
4G엘티이,23096144,,,126.5398304,33.50655884
4거리24시,20322059,,,126.526375,33.50862639
4월의네일샵,16367644,,,126.4880827,33.49315385
4트워크,17002428,,,126.3112581,33.46002826
50센트,16243328,,노형타워,126.4783548,33.4858042
513텐동,16768532,,,126.440045,33.49575889
516도로매표소,21629536,,매표소,126.560709,33.25217473
521민박,25999114,,,126.371799,33.46888913
52카페,12437945,,,126.2471317,33.21988585
575슈퍼,12124851,,,126.2284557,33.33631793
59년왕십리,20240933,,,126.4869983,33.48373726
59피자,23310543,제주시청점,,126.5303783,33.49845912
5L2F,16424152,,,126.6334657,33.49396805
5거리헤어,16322693,,,126.5272192,33.49500465
5길,12490693,,,126.8423035,33.53188042
5번미장,20722067,,,126.5279385,33.50018823
5번미장대학로점,23144072,대학로점,,126.5307069,33.49748031
5번미장시지브이,23098066,,메카플러스,126.5273053,33.50009054
5번미장에비뉴,16320339,,메카플러스,126.5273053,33.50009054
5월펜션,16313593,,,126.2390727,33.2740908
5자매식당,16980558,,,126.8655136,33.5187603
6000냥한식뷔페,25716633,,,126.1793364,33.30446846
60계,17012387,제주아라점,,126.5488989,33.47519131
60계,17120088,제주시청점,,126.52851,33.49885167
60계제주옹포점,12111839,제주옹포점,,126.2510504,33.40197299
60계치킨,17052757,성산점,,126.9132579,33.45028591
60계치킨,16037860,제주삼화지구점,,126.5743234,33.51441666
60계치킨제주,17132736,서귀포중문점,,126.4335297,33.25090811
60계치킨제주,17117053,서귀포동홍점,,126.5732543,33.25673721
60빈스,20356560,,,126.5366989,33.24154403
646미터퍼세크,16749776,,너울빌리지,126.1934114,33.36275088
666식당,20242028,,66통닭,126.6174433,33.2637461
66번길,24900184,,한솔원룸,126.5742578,33.25639709
66통닭,25814282,,66통닭,126.6174433,33.2637461
6789단란주점,25998795,,,126.2650681,33.41162698
6부두,12075076,,,126.5391153,33.51772992
6월펜션,16313562,,,126.2389429,33.27414305
6호이마트신제주점,23086527,이마트신제주점,이마트,126.4804892,33.48495587
700당구장,21527293,,성진칼라,126.5673365,33.24914069
701LOFT,8587389,,,126.5059486,33.23269431
7080당구클럽,20777478,,아가페교회,126.5373776,33.50522262
7080라이브,12060848,,세진빌라,126.5062074,33.51608422
7080라이브포차,25997110,,,126.4918062,33.48816848
7080만원하우스,22099718,,,126.4922605,33.47809446
7080한잔의추억,17044541,,,126.5636998,33.2444915
7178해장국,25997057,,,126.2621261,33.41415518
720회포차,25258129,,,126.5432597,33.49843995
7373카페,25847393,,,126.5060549,33.23148744
73STCAFE,16150641,,,126.4551848,33.45699198
73에스티,16027638,,,126.4551848,33.45699198
777도새기,16055615,,,126.4936351,33.48693755
777책비디오DVD대여점,11970096,,,126.4926772,33.48385155
77노래연습장,25460801,,,126.489689,33.48368894
77다방,11970929,,,126.5273017,33.51364113
78낚시,24008184,,,126.5169609,33.51476192
79대포,15972548,,,126.5814638,33.51612149
7SEVENBET,25068213,,,126.4792166,33.4765106
7번가피자,15996649,중문점,,126.4343773,33.25090977
7번가피자,11978987,신서귀점,,126.5059536,33.25573037
7번가피자,17031417,제주한림점,,126.2643963,33.40865151
7번가피자,12083043,신제주점,,126.4736038,33.48676454
7번가피자서귀포점서귀포점,12633885,서귀포점,,126.5585905,33.26224824
7번가피자아라점,11777592,아라점,,126.5459411,33.47385837
7번가피자함덕점,12613747,함덕점,,126.6641991,33.54224081
7번길,12602528,,,126.5887064,33.28349314
7스크린그늘집,17138404,,,126.4870269,33.47590297
7월펜션,16313563,,,126.2392327,33.27413814
7클리어,16710434,제주점,대진유토피아,126.8143045,33.34112955
83년생김지영,16093884,,,126.3277562,33.30912432
88네일,16952124,,,126.4738459,33.49013938
88면세점,12091638,,,126.3855885,33.26362031
88버거,11907197,,,126.5671847,33.24923812
88슈퍼,17154682,,,126.2514468,33.221344
88양곱창,17006490,,,126.5421685,33.5019072
88올림픽기념국민생활관웨딩홀,25768404,,올림픽기념국민생활관,126.4995614,33.2611712
88참기름집,21698194,,,126.2635156,33.41563513
88한녀석들,12669507,,청산갈비,126.9329939,33.46528921
89커피,16962923,,,126.4300868,33.48707732
8PM비밀기지,16595846,,,126.8644338,33.35886447
8세컨드,16253705,,제주코리아극장,126.5253915,33.51521419
8월의신부,12061024,,,126.5165084,33.49271309
8월펜션,16313597,,,126.2389459,33.27398983
8플러스,16208010,,,126.4879318,33.49193489
90`s인테리어,16718765,,한라빌라,126.5430195,33.50121398
911하우징콜,20775780,,,126.5233095,33.50978897
91에스티,16305358,,,126.4311635,33.48464773
929숯불닭갈비,12338241,신제주점,,126.4876083,33.47649609
941헤르쯔,23309123,,,126.4851094,33.48531897
94번가,16633712,제주협재점,,126.2411532,33.39225875
94번가,23484842,신서귀포점,,126.5111226,33.25340312
94번가,16984039,엔치킨이즈백삼도1동점,,126.5197391,33.50457134
957해물짬뽕,14378320,,,126.3970817,33.48272398
98,17180063,,,126.4348577,33.24623655
99밸리,17262037,,,126.481517,33.48524796
99스트리트,16606398,,,126.4138197,33.26209038
9남살롱,12060855,,,126.5356653,33.48931664
9월펜션,16313567,,,126.2392355,33.27400295
A+과학나라,21440540,,,126.4939533,33.4859587
A+왕수학보습,14211812,,,126.4026103,33.48046034
ABC마트,12093532,,,126.5256217,33.51370229
ABC마트,25511924,제주서귀포점,인디안,126.5661643,33.24864031
ABC마트,16004570,ST제주칠성점,제주코리아극장,126.5253915,33.51521419
ABC마트,16045669,ST제주연동점,,126.4897993,33.4897308
ABC마트,21434367,제주연동점,,126.4910805,33.49030538
ABC마트신제주연동점,12455429,신제주연동점,,126.4905304,33.48604327
ACNC,26574382,,로얄쇼핑센타및오피스텔,126.4911646,33.48855736
AD댄스스쿨,20810516,,,126.5426696,33.50218357
AD수산유통,24488375,,,126.4339365,33.48839723
AG하우스,25997442,,,126.8062698,33.33558867
AJ렌터카,22878693,,진현빌딩,126.4912119,33.48148963
ALT-X,24552702,,,126.4722379,33.49102113
ANDYU,16425162,,,126.2542329,33.40461425
ARA도예,24444858,,,126.4547937,33.49417665
ARISTOCAT,24578738,,,126.494551,33.51980179
ARMOUR,16253808,,,126.525229,33.51464426
A과학나라,16180343,,연동ABC주상복합,126.4895189,33.48604898
B&B투노래연습장,21858308,,동흥빌딩,126.5424596,33.50251468
B.Y.C모슬포대리점,21671137,모슬포대리점,BYC,126.2547485,33.22252634
B2B토탈솔루션,24939690,,현대빌라,126.4955392,33.49318151
bar99,22055177,해비치호텔앤리조트,,126.8442457,33.32303634
BB2노래방,23973025,,중앙빌딩,126.5299692,33.4991034
BBQ치킨,3566775,제주신연동점,,126.4889257,33.47869396
BBQ치킨,12108310,앤비어도두점,도두골든빌리지,126.4650275,33.50267037
BBQ치킨,23354822,평화로점,,126.3928468,33.41312296
BBQ치킨,23373582,한림점,,126.2646088,33.41742646
BBQ치킨,17178850,제주노형점,,126.4743403,33.48955945
BBQ치킨,21883079,인제점,,126.5401442,33.50902383
BBQ치킨,16025761,제주우도점,,126.9596962,33.50923639
BBQ치킨,21910702,제주동홍점,PIZZADAO,126.5755785,33.25701631
BBQ치킨,23489612,앤비어삼무공원점,,126.4910378,33.48966475
BBQ치킨,12063444,협재점,,126.2444775,33.39850841
BBQ치킨,16043415,제주하귀애월점,,126.3996303,33.48044894
BBQ치킨,8588550,남원점,배움PC방,126.7189779,33.28026967
BBQ치킨,26202133,올리브떡볶이제주한라점,,126.4874917,33.47825273
BBQ치킨,23160190,추자점,,126.297627,33.96358494
BBQ치킨,21908602,제주함덕점,,126.6644877,33.54237916
BBQ치킨,12124122,제주영어교육도시점,,126.2842066,33.29153612
BBQ치킨,21869070,외도점,,126.4352707,33.49377837
BBQ치킨,21897651,제주서귀일호점,,126.5633095,33.25129417
BBQ치킨,22110219,제주서귀포신시가지점,,126.5103276,33.24966096
BBQ치킨,16589400,호텔리젠트마린점,호텔휘슬,126.5275615,33.51736771
BBQ치킨,23357899,이도초교점,,126.5284026,33.48993383
BBQ치킨,17266372,제주한림점,,126.2667876,33.40840547
BBQ치킨김만덕점,12605053,김만덕점,,126.5306925,33.51616072
BBQ치킨도남점,25424335,도남점,,126.5257361,33.49807039
BBQ치킨서귀포신시가지점,12059196,서귀포신시가지점,서호민우연립주택,126.5091233,33.25107106
BBQ치킨영어교육도시점,12079875,영어교육도시점,,126.2842684,33.29167221
BBQ치킨제주대명리조트점,12059404,제주대명리조트점,대명리조트,126.6711839,33.54101768
BBQ치킨제주봉개점,11784502,제주봉개점,,126.5911876,33.49193482
BBQ치킨카페노형점,23500855,카페노형점,동원빌딩,126.4697418,33.48366961
BBQ치킨카페아라점,23484816,카페아라점,,126.5448206,33.47331329
BBQ치킨화북점,12596266,화북점,,126.5666387,33.5189711
BB통신,22739723,,,126.5454857,33.50238796
BE,16198267,MAY,,126.5111226,33.25340312
BeachPara,22070915,,제주크리스탈호텔,126.5581709,33.24728563
BHC비어존,25998847,,,126.4830326,33.4841035
BHC치맥전문점,25996910,,봄그리고가을리조트,126.9110776,33.47413297
BHC치킨,20264608,치킨노형뜨란채점,,126.4747341,33.48612031
BHC치킨,14975403,일도점,,126.5398196,33.51360902
BHC치킨,23362848,치킨외도점,,126.4318303,33.48764935
BHC치킨,20716033,남원점,남원항공,126.7200738,33.27946948
BHC치킨,16730158,제주저지점,,126.2675448,33.33717596
BHC치킨,25296531,협재점,,126.2405296,33.39387267
BHC치킨,23204180,성산점,산포식당,126.9342159,33.46388416
BHC치킨,11922065,우도점,,126.9477414,33.50454613
BHC치킨,17005228,치킨노형점,동원빌딩,126.4697418,33.48366961
BHC치킨,21892007,금호리조트제주점,금호콘도,126.702813,33.27364635
BHC치킨,17181575,제주강정점,,126.4826047,33.23450344
BHC치킨,12053430,도남점,,126.5286622,33.49112699
BHC치킨,25998407,비어존연삼로점,봉개반석아르미,126.5960255,33.49553296
BHC치킨,12527801,삼화점,에이플러스타워,126.5795054,33.51674818
BHC치킨,16080194,용담점,,126.5056936,33.51216522
BHC치킨,16089962,제주신화월드점,,126.3175866,33.30136881
BHC치킨,12487144,영어교육도시점,삼정GEDU,126.2743163,33.2840695
BHC치킨,22098133,일도점,,126.5332119,33.51228678
BHC치킨,21876410,그랑블루점,대포어촌계횟집,126.4392885,33.23842133
BHC치킨,21875119,,,126.4854731,33.49162538
BHC치킨,16410403,탑동점,천마타워,126.5246244,33.51665658
BHC치킨,21920895,서귀행복점,,126.5576109,33.25720589
BHC치킨,21859049,제주CGV점,메카플러스,126.5273053,33.50009054
BHC치킨,16219432,중문점,신우성타운,126.4116189,33.24968349
BHC치킨,20273343,비어존연삼로점,,126.543424,33.50019094
BHC치킨,16977629,치킨아라점,,126.5458037,33.47500177
BHC치킨,17207401,제주강정점,서부민박,126.480682,33.23525535
BHC치킨무수천점,12520029,무수천점,,126.4521897,33.46271563
BHC치킨서귀행복점,12522309,서귀행복점,,126.5566051,33.25833024
BHC치킨신서귀포점,12075710,신서귀포점,시카고피자,126.5107855,33.25239831
BHC치킨함덕점,11958679,함덕점,,126.6612178,33.54357001
BKR버거킹,25999941,제주이마트점,이마트,126.4804892,33.48495587
BK코스메틱,24507321,,,126.499085,33.49223278
BM룸노래텔,26582641,,제주로얄호텔,126.4917463,33.48851936
BNB37민박,16456535,,,126.2440384,33.39255205
BOX헤어,25515638,,,126.5248665,33.51253929
BRIZCO,26590074,,에이스텔,126.4821278,33.48169425
BRM연구소,25996865,제주지회,,126.5219148,33.50003537
BS어학원,5747339,,,126.5308862,33.49132468
BS코리아제주,24918230,,다호마을회관,126.4905223,33.50138786
BTB솔루션,26585741,,웰빙파크,126.4730636,33.48260166
BYC,23909379,,BYC,126.8325869,33.32589372
BYC,25625957,고산백양점,,126.1797884,33.30338423
BYC,25998553,,,126.5239792,33.51281722
BYC,12260275,,동문공설시장,126.5282969,33.51207521
BYC,12316556,,이마트,126.5212333,33.51795948
BYC,24098315,,,126.5245283,33.51280573
BYC,21585591,신제주점,,126.4916084,33.48964465
BYC,25280761,,,126.4249226,33.25157475
BYC,20767929,도남점,,126.5290193,33.4960989
BYC.속옷나라,24286689,,,126.2648945,33.41549215
BYC속옷나라,21718639,,,126.26486,33.41236333
BYC중문점,25727719,중문점,,126.4248048,33.25156424
BYC할인마트,21927769,,코리아마트(주),126.5701705,33.25236502
BY정의미용실,24139137,,,126.5444585,33.50589204
B동301호,20271618,,,126.5294109,33.49712233
B일상잡화점,16297947,,,126.9144552,33.46209878
C&A논술학원,21472593,,,126.5363883,33.48790971
C&S,24026750,,책과영화이야기,126.3356499,33.24682362
CAFE064KNOT,16592109,,,126.2599573,33.41132099
CAFE3535.1,17259583,,,126.6556866,33.53920049
CAFEULOVE,16208623,,,126.5422385,33.50286369
CAFE오름JEJU,25996905,,,126.8558877,33.37232863
CAMPFORDOG,25999041,,,126.564418,33.45723218
CampusOK유학원,14194634,,,126.5273775,33.50281415
CARFE서귀포동홍점두영상사,21490387,,모비스카페,126.5610315,33.25475707
CENTRALENGLISHL,24993479,,,126.5496181,33.47464075
CES영어전문학원,20925958,,,126.4854731,33.49162538
CF21,24103058,,,126.6744214,33.53558875
CHICHINAIL,23996458,,,126.562153,33.24721453
CJ건설클럽나인브릿지,20409040,,,126.4043031,33.34036094
CLUBJEJU,25997237,,제이제이레스토랑,126.4164653,33.25583102
CMS수학학원,25245859,,,126.5421506,33.4927019
CMS에슬러어학원,24103464,,,126.5421506,33.4927019
COFFEE99.9,25752184,,수목정,126.484671,33.46971646
COME&UP영어수학교실,25643008,,,126.5383569,33.49690363
COMTEC,23905960,,경남빌라,126.5370483,33.49537354
CORNERCOFFEE,17258649,,,126.5290008,33.49910092
CORNERSTONEJEJU,24214414,,,126.2534985,33.22119251
CornerstoneJejuHeui어학원,28043671,,,126.2534985,33.22119251
CREBEAU끄레뷰,24324759,,,126.560375,33.25094467
CS스쿨어학원,24025232,,송강연립주택,126.5357452,33.49799074
CU,15280524,제주함덕사거리점,,126.6748572,33.53807278
CU,22967990,제주신삼양점,,126.5856618,33.52139866
CU,9160326,제주도남점,,126.5317839,33.49296717
CU,16098396,제주수원포구점,,126.2646532,33.42545979
CU,28521251,제주천마주유소점,,126.5341969,33.51769885
CU,9160334,제주우도점,,126.9440106,33.50245867
CU,20278298,제주캠퍼스점,,126.5611834,33.46030515
CU,24412200,제주아라중점,,126.5458201,33.48689378
CU,14974777,제주와산리점,,126.6728734,33.4917367
CU,26279241,제주한국병원점,,126.5167034,33.50020749
CU,5139315,중흥에스점,중흥에스클래스아파트,126.4813647,33.47733032
CU,9160335,제주이도주공점,주공2아파트,126.5337068,33.49124088
CU,5572621,연동세일점,연동세일빌라,126.4984099,33.48583247
CU,16128303,성산코지점,,126.9292253,33.46818702
CU,16099883,서귀태신로점,태흥낚시·편의점,126.7453383,33.28653441
CU,24550615,제주한라아트홀점,제주한라대학교,126.4742119,33.4766294
CU,16218780,서귀앙크점,,126.5676537,33.25732198
CU,28521067,제주정원점,,126.4915698,33.41796005
CU,5845536,한림제일점,,126.2637539,33.41446647
CU,12091279,제주송당마을점,,126.787728,33.47040932
CU,24065017,제주동화점,화북1아파트,126.5754048,33.52066803
CU,16219711,서귀대정시계탑점,왕미용실,126.2537099,33.22188968
CU,9035717,제주세화점,,126.8570589,33.52321771
CU,12150755,서귀포시청점,,126.5101253,33.25842213
CU,26281708,제주애월점,,126.3841075,33.46470473
CU,24206518,서귀포주공점,동홍6주공아파트,126.5597893,33.26244245
CU,3568184,제주동남점,,126.9156501,33.44907162
CU,12419650,제주구산로점,,126.5383747,33.48303759
CU,12436851,제주노형우학점,,126.4778517,33.48442764
CU,3788704,제주광양점,,126.5347711,33.49513025
CU,23432144,서귀아랑조을거리점,동언식당,126.559443,33.24888721
CU,12341203,제주표선로얄점,,126.8294465,33.32540433
CU,3154967,제주연화점,,126.4903563,33.47808931
CU,12341234,제주남원의귀점,,126.7169073,33.31172421
cu,25594832,,드림오피스,126.4285167,33.25161121
CU,23230331,제주표선남촌점,,126.8286717,33.31668717
CU,23382931,제주도청점,,126.4997745,33.48843651
CU,15995793,제주사리탑교차로점,,126.633254,33.52797361
CU,21579923,서귀법환점,,126.5126933,33.23732826
CU,9160328,제주남녕점,,126.4804169,33.48971526
CU,15972279,서귀위미동백점,,126.6866952,33.2755148
CU,22846135,사대부고점,,126.5099929,33.51250551
CU,20609229,성산신산점,경성철물,126.8763118,33.38017913
CU,24589747,서귀포동문로터리점,,126.5674691,33.24824962
CU,15972685,제주논스톱점,,126.3686838,33.47210277
CU,12337070,제주하귀휴먼시아점,,126.4161279,33.48492527
CU,21643728,화북주공4단지점,,126.5739395,33.51747761
CU,25654728,표선점,,126.8331731,33.32623284
CU,23308208,제주노형중점,,126.4752118,33.47850795
CU,23428033,서귀선반네점,,126.5547283,33.25239387
